Age0,Age180,Age30,Age360,Age540,Age720,Age90,Cell,Group,MaxSize,NumFiles,Path,Usage,User
31290,6238,31129,0,0,0,31128,mlp,intelall,Unlimited,4277,,31289,tgore
35572,16469,35066,0,0,0,35064,mlp,intelall,Unlimited,5640,,35570,michelth
29382,0,22486,0,0,0,21316,mlp,intelall,Unlimited,24954,,37836,petercol
43913,37456,43911,0,0,0,43911,mlp,intelall,Unlimited,1993,,43912,vbalasub
61198,17932,61194,0,0,0,61194,mlp,intelall,Unlimited,4543,,61195,tgore
80631,31383,80629,0,0,0,80627,mlp,intelall,Unlimited,6475,,80630,millerge
87936,79,4035,0,0,0,133,mlp,intelall,Unlimited,1652455,,117804,mbolat
118104,19355,118103,0,0,0,118088,mlp,intelall,Unlimited,3538,,118104,millerge
134817,133691,133709,0,0,0,133703,mlp,,Unlimited,2885444,,133719,usrintel
155942,0,66981,0,0,0,40655,mlp,intelall,Unlimited,29,,186465,johnharr
117602,250,13684,250,0,0,1595,mlp,intelall,Unlimited,23895,,217174,harrisch
288051,171826,288049,0,0,0,287353,mlp,intelall,Unlimited,9661,,288049,millerge
