Age0,Age180,Age30,Age360,Age540,Age720,Age90,Cell,Group,MaxSize,NumFiles,Path,Usage,User
0,0,0,0,0,0,0,ibw,chip,Unlimited,2,/nfs/ibw/proj/dpg/arch,0,cifallin
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,afarcy
0,0,0,0,0,0,0,ibw,root,Unlimited,8,/nfs/ibw/proj/dpg/arch,0,root
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,bnvoskre
0,0,0,0,0,0,0,ibw,,Unlimited,26,/nfs/ibw/proj/dpg/arch,0,10693450
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,vrane
0,0,0,0,0,0,0,ibw,chip,Unlimited,24,/nfs/ibw/proj/dpg/arch,0,mawilli2
0,0,0,0,0,0,0,ibw,chip,Unlimited,3,/nfs/ibw/proj/dpg/arch,0,jdpearce
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,jmoeller
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,kbtheoba
0,0,0,0,0,0,0,ibw,chip,Unlimited,2,/nfs/ibw/proj/dpg/arch,0,tomerw
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,sarostko
0,0,0,0,0,0,0,ibw,chip,Unlimited,27,/nfs/ibw/proj/dpg/arch,0,atevet
0,0,0,0,0,0,0,ibw,chip,Unlimited,13,/nfs/ibw/proj/dpg/arch,0,bvirk
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,mfcole
0,0,0,0,0,0,0,ibw,,Unlimited,0,/nfs/ibw/proj/dpg/arch,0,*
0,0,0,0,0,0,0,ibw,chip,Unlimited,2,/nfs/ibw/disks/ccdo.hdk.valid_root.000,0,slgeiger
0,0,0,0,0,0,0,ibw,chip,Unlimited,59,/nfs/ibw/disks/ccdo.hdk.valid_root.000,0,socfebe
0,0,0,0,0,0,0,ibw,chip,Unlimited,2,/nfs/ibw/disks/ccdo.hdk.valid_root.000,0,mssmith
0,0,0,0,0,0,0,ibw,chip,Unlimited,2,/nfs/ibw/disks/ccdo.hdk.valid_root.000,0,knattan
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/disks/ccdo.hdk.valid_root.000,0,farhanar
0,0,0,0,0,0,0,ibw,chip,Unlimited,3,/nfs/ibw/disks/ccdo.hdk.valid_root.000,0,mbenes1
0,0,0,0,0,0,0,ibw,,Unlimited,0,/nfs/ibw/disks/ccdo.hdk.valid_root.000,0,*
0,0,0,0,0,0,0,ibw,soc,Unlimited,1,/nfs/ibw/disks/ccdo.soc.hdk.rtl.001,0,rtlhdk
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/disks/ccdo.soc.hdk.rtl.001,0,jabesset
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/disks/ccdo.soc.hdk.rtl.001,0,vbilagi
